Network,Number Score,Subscribers,,,,
Amazon Prime Video,0.99,175000000,,,,
Netflix,0.91,221800000,,,,
Netflix,0.92,221800000,,,,
Apple TV+,0.77,20000000,,,,
Amazon Prime Video,0.92,175000000,,,,
Disney+,0.84,129800000,,,,
Hulu,0.77,45300000,,,,
Netflix,0.64,221800000,,,,
HBO Max,0.62,73800000,,,,
HBO Max,0.7,73800000,,,,
Hulu,0.69,45300000,,,,
Netflix,0.89,221800000,,,,
Hulu,0.86,45300000,,,,
Hulu,0.77,45300000,,,,
Netflix,0.91,221800000,,,,
Disney+,0.97,129800000,,,,
Amazon Prime Video,0.64,175000000,,,,
Amazon Prime Video,0.62,175000000,,,,
Apple TV+,0.97,20000000,,,,
Netflix,0.94,221800000,,,,
Hulu,0.81,45300000,,,,
HBO Max,0.9,73800000,,,,
Netflix,0.8,221800000,,,,
Apple TV+,0.75,20000000,,,,
Disney+,0.68,129800000,,,,
Amazon Prime Video,0.81,175000000,,,,
Amazon Prime Video,0.79,175000000,,,,
Disney+,0.91,129800000,,,,
Apple TV+,0.68,20000000,,,,
HBO Max,0.88,73800000,,,,
Disney+,0.77,129800000,,,,
Amazon Prime Video,0.47,175000000,,,,
Apple TV+,0.79,20000000,,,,
Apple TV+,0.6,20000000,,,,
Hulu,0.8,45300000,,,,
Disney+,100,129800000,,,,
Disney+,0.84,129800000,,,,
HBO Max,0.83,73800000,,,,
HBO Max,0.91,73800000,,,,
HBO Max,0.93,73800000,,,,
Hulu,0.71,45300000,,,,
Netflix,0.84,221800000,,,,
Amazon Prime Video,0.89,175000000,,,,
Amazon Prime Video,0.86,175000000,,,,
Netflix,0.73,221800000,,,,
Hulu,0.86,45300000,,,,
HBO Max,0.83,73800000,,,,
Disney+,0.93,129800000,,,,
Netflix,0.62,221800000,,,,
Apple TV+,0.61,20000000,,,,
Disney+,0.68,129800000,,,,
Netflix,0.94,221800000,,,,
Disney+,0.72,129800000,,,,
HBO Max,0.84,73800000,,,,
HBO Max,0.76,73800000,,,,
Apple TV+,0.73,20000000,,,,
Disney+,0.75,129800000,,,,
Netflix,0.73,221800000,,,,
Apple TV+,0.9,20000000,,,,
Hulu,0.87,45300000,,,,
HBO Max,0.97,73800000,,,,
Hulu,0.96,45300000,,,,
HBO Max,0.77,73800000,,,,
Netflix,0.82,221800000,,,,
Hulu,0.76,45300000,,,,
Netflix,0.72,221800000,,,,
Disney+,0.88,129800000,,,,
Amazon Prime Video,0.87,175000000,,,,
HBO Max,0.84,73800000,,,,
HBO Max,0.65,73800000,,,,
Netflix,0.78,221800000,,,,
HBO Max,0.66,73800000,,,,
Netflix,0.7,221800000,,,,
Netflix,0.78,221800000,,,,
Amazon Prime Video,0.62,175000000,,,,
HBO Max,0.77,73800000,,,,
Amazon Prime Video,0.83,175000000,,,,
HBO Max,0.97,73800000,,,,
Netflix,0.75,221800000,,,,
Disney+,0.52,129800000,,,,
Disney+,0.81,129800000,,,,
Hulu,0.85,45300000,,,,
Apple TV+,0.8,20000000,,,,
Amazon Prime Video,0.97,175000000,,,,
Hulu,0.78,45300000,,,,
Hulu,0.92,45300000,,,,
Apple TV+,100,20000000,,,,
HBO Max,0.67,73800000,,,,
HBO Max,0.9,73800000,,,,
Netflix,0.88,221800000,,,,
HBO Max,0.72,73800000,,,,
HBO Max,0.74,73800000,,,,
Apple TV+,0.64,20000000,,,,
Apple TV+,0.95,20000000,,,,
HBO Max,0.77,73800000,,,,
Disney+,0.92,129800000,,,,
Disney+,0.77,129800000,,,,
Disney+,0.8,129800000,,,,
Netflix,0.89,221800000,,,,
Amazon Prime Video,0.92,175000000,,,,
HBO Max,0.9,73800000,,,,
Hulu,0.87,45300000,,,,
Netflix,0.52,221800000,,,,
Apple TV+,100,20000000,,,,
HBO Max,0.7,73800000,,,,
Disney+,0.88,129800000,,,,
HBO Max,0.95,73800000,,,,
Apple TV+,0.83,20000000,,,,
HBO Max,0.56,73800000,,,,
HBO Max,0.75,73800000,,,,
Netflix,0.47,221800000,,,,
Apple TV+,0.78,20000000,,,,
Disney+,0.87,129800000,,,,
HBO Max,0.85,73800000,,,,
HBO Max,0.74,73800000,,,,
Disney+,0.94,129800000,,,,
Hulu,0.93,45300000,,,,
Hulu,0.93,45300000,,,,
HBO Max,0.85,73800000,,,,
Disney+,0.92,129800000,,,,
Apple TV+,0.86,20000000,,,,
Disney+,0.89,129800000,,,,
Disney+,0.96,129800000,,,,
Hulu,0.59,45300000,,,,
Amazon Prime Video,0.78,175000000,,,,
Amazon Prime Video,0.83,175000000,,,,
Netflix,0.76,221800000,,,,
Hulu,0.88,45300000,,,,
HBO Max,0.77,73800000,,,,
HBO Max,0.81,73800000,,,,
